Company / Artist,Domain,Segment,Location,Fit Score (1-5),Tier,Trigger,Trigger Date,Target Contact Role,LinkedIn URL,Email,Why Now,Evidence URL,Evidence Summary,Research Angle,Verification Status,Verified On,Current Release or Campaign Signal,Release / Campaign Date,Release Verification URL,Decision-Maker,Decision-Maker Role,Decision-Maker Source URL,Verification Notes
Hana Stretton,hanastretton.com,independent musician/solo artist,"Melbourne, Australia",5,A,"Hana Stretton's official site maintains an upcoming-album and contact flow, while Earth Agency lists her in its current artist roster (page updated 2026-05-14).",2026-05-14,Hana Stretton / artist manager / label partner,,,"Hana Stretton's official site maintains an upcoming-album and contact flow, while Earth Agency lists her in its current artist roster (page updated 2026-05-14).",https://earth-agency.com/artist/hana-stretton,"Hana Stretton's official site maintains an upcoming-album and contact flow, while Earth Agency lists her in its current artist roster (page updated 2026-05-14).",artist-prospects,verified_current_signal,2026-09-04,"Hana Stretton's official site maintains an upcoming-album and contact flow, while Earth Agency lists her in its current artist roster (page updated 2026-05-14).",2026-05-14,https://earth-agency.com/artist/hana-stretton,Hana Stretton,Artist / creative lead,https://www.hanastretton.com/contact,Official contact page supports a direct artist route; no named manager was found. Do not guess an email.
Hyperdub,hyperdub.net,Independent record label,"London, UK",5,A,Current multi-artist roster and releases storefront indicate recurring release creative needs,,Label Manager; Creative Director; A&R Manager,,,"Current multi-artist roster and releases storefront indicate recurring release creative needs. Official site describes Hyperdub as a London-based independent label and lists a large, current artist roster including Burial, Ikonika, Nazar, DJ Haram, Loraine James, The Bug and many others; it also maintains an official releases collection.",https://hyperdub.net/pages/artists,"Official site describes Hyperdub as a London-based independent label and lists a large, current artist roster including Burial, Ikonika, Nazar, DJ Haram, Loraine James, The Bug and many others; it also maintains an official releases collection.",label-prospects,verified_current_signal,2026-09-04,Hyperdub's store currently lists the 2026 vinyl reissue of Burial's Kindred EP and maintains an active releases catalog and roster.,2026,https://hyperdub.net/en-us/products/burial-kindred-ep,Kris Jones,Licensing & Publishing Manager,https://uk.linkedin.com/in/kris-jones-68510a22,Previously verified in the current outreach review.
LUCKYME,luckyme.net,Independent record label / design studio,"Scotland; team across London, Edinburgh, Montreal, New York and Los Angeles",5,A,Recent documented release plus label's stated artist/deal and design-studio model,2025-09-12,Label Manager; Creative Director; Design Director,,,"Recent documented release plus label's stated artist/deal and design-studio model. Official site says it was founded in Scotland in 2007, works across multiple cities, signs artists, and releases worldwide; official releases page documents ongoing releases including Eli Keszler's Verses GT (2025-09-12).",https://www.luckyme.net/Releases,"Official site says it was founded in Scotland in 2007, works across multiple cities, signs artists, and releases worldwide; official releases page documents ongoing releases including Eli Keszler's Verses GT (2025-09-12).",label-prospects,verified_current_signal,2026-09-04,"The official shop shows a dense 2026 pipeline: Baauer's July single, Jacques Greene's July release, and a Cyst / Iglooghost / daisy* release dated 2026-09-04.",2026-09-04,https://shop.luckyme.net/,Jamie Pettinger,Label Manager,https://www.linkedin.com/in/jamie-pettinger-74b993190,Previously verified in the current outreach review.
Mareux (Aryan Ashtiani),newnoisemagazine.com,solo artist,"Los Angeles, US",5,A,Mareux's official site currently promotes the Wild At Heart video and ongoing Nonstop Romance/The Perfect Girl catalog campaign; Ground Control publicly lists Natasha Khan Asrar as the worldwide-ex-North-America touring representative.,2026-09-04,Artist manager / Artist,https://www.linkedin.com/search/results/people/?keywords=Mareux,,Mareux's official site currently promotes the Wild At Heart video and ongoing Nonstop Romance/The Perfect Girl catalog campaign; Ground Control publicly lists Natasha Khan Asrar as the worldwide-ex-North-America touring representative.,https://www.mareux.com/,Mareux's official site currently promotes the Wild At Heart video and ongoing Nonstop Romance/The Perfect Girl catalog campaign; Ground Control publicly lists Natasha Khan Asrar as the worldwide-ex-North-America touring representative.,growth-lookalikes,verified_current_signal,2026-09-04,Mareux's official site currently promotes the Wild At Heart video and ongoing Nonstop Romance/The Perfect Girl catalog campaign; Ground Control publicly lists Natasha Khan Asrar as the worldwide-ex-North-America touring representative.,2026-09-04,https://www.mareux.com/,Natasha Khan Asrar,Touring representative,https://groundcontroltouring.com/artists/mareux,"Public representative is source-backed but is a touring route, not a confirmed creative/marketing decision-maker. Treat as a routing lead, not a guessed buyer."
Melanie C / Red Girl Records,virginmusic.com,record label/music company,,5,A,"Music Business Worldwide reported the 2026 continuation of the Red Girl Records/Virgin Music Group campaign, while Virgin's official announcement documents the 'Sweat' single and ninth-studio-album partnership.",2026-07-31,Label manager / Artist manager / Creative director,https://www.linkedin.com/search/results/companies/?keywords=Red%20Girl%20Records,,"Music Business Worldwide reported the 2026 continuation of the Red Girl Records/Virgin Music Group campaign, while Virgin's official announcement documents the 'Sweat' single and ninth-studio-album partnership.",https://www.musicbusinessworldwide.com/melanie-c-and-red-girl-records-partner-with-virgin-music-group-to-for-new-album-and-single1,"Music Business Worldwide reported the 2026 continuation of the Red Girl Records/Virgin Music Group campaign, while Virgin's official announcement documents the 'Sweat' single and ninth-studio-album partnership.",growth-lookalikes,verified_current_signal,2026-09-04,"Music Business Worldwide reported the 2026 continuation of the Red Girl Records/Virgin Music Group campaign, while Virgin's official announcement documents the 'Sweat' single and ninth-studio-album partnership.",2026-07-31,https://www.musicbusinessworldwide.com/melanie-c-and-red-girl-records-partner-with-virgin-music-group-to-for-new-album-and-single1,,,,"Current campaign signal is public, but no named creative, marketing, or artist-management contact was identified on the reviewed public pages. Do not guess."
Orla Gartland,orlagartland.com,independent musician/solo artist,"Dublin, Ireland",5,A,Official site is actively promoting the new single 'Now What' and the Trying season-five soundtrack; DIY reported the Orla Gartland/Matt Maltese soundtrack track on 2026-07-09.,2026-07-09,Orla Gartland / artist manager,,,Official site is actively promoting the new single 'Now What' and the Trying season-five soundtrack; DIY reported the Orla Gartland/Matt Maltese soundtrack track on 2026-07-09.,https://diymag.com/news/orla-gartland-matt-maltese-new-trying-soundtrack-track,Official site is actively promoting the new single 'Now What' and the Trying season-five soundtrack; DIY reported the Orla Gartland/Matt Maltese soundtrack track on 2026-07-09.,artist-prospects,verified_current_signal,2026-09-04,Official site is actively promoting the new single 'Now What' and the Trying season-five soundtrack; DIY reported the Orla Gartland/Matt Maltese soundtrack track on 2026-07-09.,2026-07-09,https://diymag.com/news/orla-gartland-matt-maltese-new-trying-soundtrack-track,Orla Gartland,Artist / creative lead,https://www.orlagartland.com/,Named artist is public; no separate manager or marketing contact was found. Do not guess an email.
Secretly Canadian,secretlycanadian.com,Independent record label / music company,"Bloomington, Indiana, USA",5,A,Official site currently lists multiple upcoming/latest records from different artists,,Label Manager; Creative Director; Art Director,,,Official site currently lists multiple upcoming/latest records from different artists. Official site has a large artist roster and a Latest Records section with multiple named releases and release dates; the label's site also promotes newsletter/store activity.,https://secretlycanadian.com/,Official site has a large artist roster and a Latest Records section with multiple named releases and release dates; the label's site also promotes newsletter/store activity.,label-prospects,verified_current_signal,2026-09-04,"The label's 2026 news feed lists Baby Rose's Yearnalism, Jordan Patterson's EP, Eaves Wilder's debut, Wesley Joseph's album, and Yoko Ono's Season of Glass reissue.",2026-07-10,https://secretlycanadian.com/baby-rose-announces-new-album-yearnalism-out-july-10th,Robby Morris,Senior Director of Creative & Strategy,https://www.linkedin.com/in/robby-morris,Previously verified in the current outreach review.
Squid,squidband.uk,band,"Brighton, UK",5,A,"Squid's official live page lists September and October 2026 festival and club dates, while the official site continues to feature the Cowards album.",2026-09-12,Artist Manager,,,"Squid's official live page lists September and October 2026 festival and club dates, while the official site continues to feature the Cowards album.",https://squidband.uk/live,"Squid's official live page lists September and October 2026 festival and club dates, while the official site continues to feature the Cowards album.",band-prospects,verified_current_signal,2026-09-04,"Squid's official live page lists September and October 2026 festival and club dates, while the official site continues to feature the Cowards album.",2026-09-12,https://squidband.uk/live,Squid,Band / creative lead,https://squidband.uk/,Public band route is available; no separate named manager or marketing contact was found. Do not guess an email.
Stones Throw Records,stonesthrow.com,Independent record label,"Los Angeles, California, USA",5,A,"The official news page posted 'Welcome to Stones Throw, Kiko Mizuhara' on 2026-09-03 and a Manhattan Records x Stones Throw 30th Anniversary collection update on 2026-08-20.",2026-09-03,Label Manager; Creative Director; Art/Brand Director,,,"The official news page posted 'Welcome to Stones Throw, Kiko Mizuhara' on 2026-09-03 and a Manhattan Records x Stones Throw 30th Anniversary collection update on 2026-08-20.",https://www.stonesthrow.com/news,"The official news page posted 'Welcome to Stones Throw, Kiko Mizuhara' on 2026-09-03 and a Manhattan Records x Stones Throw 30th Anniversary collection update on 2026-08-20.",label-prospects,verified_current_signal,2026-09-04,"The official news page posted 'Welcome to Stones Throw, Kiko Mizuhara' on 2026-09-03 and a Manhattan Records x Stones Throw 30th Anniversary collection update on 2026-08-20.",2026-09-03,https://www.stonesthrow.com/news,,,,"Current label signal is strong, but no named public creative, marketing, or artist-management contact was found. Do not guess."
Stramasa,stramasa.com,music marketing agency,,5,A,"Stramasa maintains current music-marketing pages for artists, bands, labels, and DJs plus an active agency team page; this is a service-pipeline signal rather than a specific dated release.",,Marketing Director / Artist Services Director,,info@stramasa.com,"Stramasa maintains current music-marketing pages for artists, bands, labels, and DJs plus an active agency team page; this is a service-pipeline signal rather than a specific dated release.",https://stramasa.com/music/music-marketing,"Stramasa maintains current music-marketing pages for artists, bands, labels, and DJs plus an active agency team page; this is a service-pipeline signal rather than a specific dated release.",agency-prospects,verified_current_service_signal,2026-09-04,"Stramasa maintains current music-marketing pages for artists, bands, labels, and DJs plus an active agency team page; this is a service-pipeline signal rather than a specific dated release.",,https://stramasa.com/music/music-marketing,,,,Public team page did not expose a named music/marketing lead in the reviewed content. Do not guess.
TaP Music,tap-music.com,Artist management company / music company,"London, UK",5,A,Current management roster includes multiple established release-active artists,,Head of Creative; Artist Manager; Marketing Director,,,"Current management roster includes multiple established release-active artists. Official management page lists a multi-artist roster including Dermot Kennedy, Duffy, Lana Del Rey, London Grammar, Loreen, Leigh-Anne, Morgan Evans and others, indicating repeated releases and campaign assets.",https://www.tap-music.com/management,"Official management page lists a multi-artist roster including Dermot Kennedy, Duffy, Lana Del Rey, London Grammar, Loreen, Leigh-Anne, Morgan Evans and others, indicating repeated releases and campaign assets.",label-prospects,verified_current_signal,2026-09-04,"TaP's current management page lists an active multi-artist roster including Dermot Kennedy, Duffy, Lana Del Rey, London Grammar, Loreen, Leigh-Anne, and Morgan Evans.",2026,https://www.tap-music.com/management,Will Bloomfield,Co-President & Head of Global Artist Management,https://www.linkedin.com/in/will-bloomfield-ab27408a,Previously verified in the current outreach review.
The Beths,thebeths.com,band,"Auckland, New Zealand",5,A,Straight Line Was A Lie album campaign and touring,2025-08-29,Artist Manager,,,"Straight Line Was A Lie album campaign and touring. Official site promotes the new album Straight Line Was A Lie, streaming/shop links, videos and tour dates.",https://www.thebeths.com/,"Official site promotes the new album Straight Line Was A Lie, streaming/shop links, videos and tour dates.",band-prospects,verified_current_signal,2026-09-04,"The official site currently promotes Expert In A Dying Field (Deluxe), video, merch, and tour activity, with Look Out Kid listed as management.",2026,https://thebeths.com/,Alexandra Bagios,Artist Manager at Look Out Kid,https://www.linkedin.com/in/alexandra-apple-bagios,Previously verified in the current outreach review.
The Creative Corporation,thecreativecorporation.com,music creative / artist branding agency,,5,A,,,Creative Director / Head of Artist Services,,,"Official services page says it provides creative, branding and website services for musicians, labels and music estates, including artist brand strategy, creative direction, graphic design/artwork, motion design, and campaign/album microsites.",https://thecreativecorporation.com/services,"Official services page says it provides creative, branding and website services for musicians, labels and music estates, including artist brand strategy, creative direction, graphic design/artwork, motion design, and campaign/album microsites.",agency-prospects,verified_current_signal,2026-09-04,"Current work and services pages show ongoing artist, estate, and label projects, including integrated digital and brand work for Nick Cave and music catalog campaigns.",2026,https://thecreativecorporation.com/work,David Stansbie,Founder & Managing Director,https://www.linkedin.com/in/davestansbie,Previously verified in the current outreach review.
The Last Dinner Party,thelastdinnerparty.co.uk,band,"London, UK",5,A,new From the Pyre-era releases and announced live dates,,Artist Manager,,,"new From the Pyre-era releases and announced live dates. Official site has music, live, shop and RSVP sections and currently promotes the From the Pyre era plus a double A-side release.",https://www.thelastdinnerparty.co.uk/,"Official site has music, live, shop and RSVP sections and currently promotes the From the Pyre era plus a double A-side release.",band-prospects,verified_current_signal,2026-09-04,"The official store lists the newly released Big Dog / Knocking at the Sky tracks, From the Pyre products, and a 2026 live calendar.",2026,https://shop.thelastdinnerparty.co.uk/products/big-dog-knocking-at-the-sky-7-single,Jesse Browner-Hamlin,Digital Marketing Manager & Day-to-Day Manager at Q Prime,https://qprime.com/academia,Previously verified in the current outreach review.
Wednesday,wednesday.band,band,"North Carolina, US",5,A,Bleeds album release and continuing tour/publicity cycle,2025-09-19,Artist Manager,,,"Bleeds album release and continuing tour/publicity cycle. Official site identifies the band as being from North Carolina and lists the new album Bleeds, tour dates, management, publicity and booking contacts.",https://www.wednesday.band/,"Official site identifies the band as being from North Carolina and lists the new album Bleeds, tour dates, management, publicity and booking contacts.",band-prospects,verified_current_signal,2026-09-04,"The official site still lists Bleeds out now, current tour dates, and named management, publicity, and booking routes.",2025-09-19,https://www.wednesday.band/,Alison Perdue,Day-to-day Manager at Wednesday Management,https://www.linkedin.com/in/alisonperdue,Previously verified in the current outreach review.
Wet Leg,wetlegband.com,band,"Isle of Wight, UK",5,A,moisturizer album campaign and associated live/merch creative,2025-07-11,Artist Manager,,,"moisturizer album campaign and associated live/merch creative. Official site promotes moisturizer as the new album and links music, merch, mailing list and event notifications.",https://wetlegband.com/,"Official site promotes moisturizer as the new album and links music, merch, mailing list and event notifications.",band-prospects,verified_current_signal,2026-09-04,The official site still leads with moisturizer as the new album and the 2026 store carries deluxe formats and live/merch assets.,2025-07-11,https://wetlegband.com/home,Elena P.,Artist Manager,https://www.linkedin.com/in/elena-p-6b7a8188,Previously verified in the current outreach review.
Wolf Alice,sonymusic.ca,band,,5,A,The official events page lists the 2026 Unraveled Tour dates beginning 2026-09-25 and the All Things Go appearance on 2026-09-27.,2026-09-25,Artist manager / Label marketing manager / Creative director,https://www.linkedin.com/search/results/companies/?keywords=Wolf%20Alice,,The official events page lists the 2026 Unraveled Tour dates beginning 2026-09-25 and the All Things Go appearance on 2026-09-27.,https://www.wolfalice.co.uk/events,The official events page lists the 2026 Unraveled Tour dates beginning 2026-09-25 and the All Things Go appearance on 2026-09-27.,growth-lookalikes,verified_current_signal,2026-09-04,The official events page lists the 2026 Unraveled Tour dates beginning 2026-09-25 and the All Things Go appearance on 2026-09-27.,2026-09-25,https://www.wolfalice.co.uk/events,,,,"Current tour signal is public, but no named creative, marketing, or artist-management contact was identified on the reviewed public pages. Do not guess."
RIOT,riot.nyc,music and entertainment creative agency,"New York, NY",4,A,RIOT's current site describes an active New York creative agency and production studio working in music and entertainment; its 2026 culture and portfolio pages show current work.,2026-07-22,Creative Director / Music & Entertainment Lead,,,RIOT's current site describes an active New York creative agency and production studio working in music and entertainment; its 2026 culture and portfolio pages show current work.,https://riot.nyc/our-creations,RIOT's current site describes an active New York creative agency and production studio working in music and entertainment; its 2026 culture and portfolio pages show current work.,agency-prospects,verified_current_service_signal,2026-09-04,RIOT's current site describes an active New York creative agency and production studio working in music and entertainment; its 2026 culture and portfolio pages show current work.,2026-07-22,https://riot.nyc/our-creations,,,,"Current agency portfolio signal is public, but no named music/creative lead was identified on the reviewed public pages. Do not guess."
shame,shame.world,band,"South London, UK",4,A,"The official live page lists 2026 dates through 2026-09-04, and DIY's 2026-09-02 artist page still documents the Cutthroat campaign; the band also announced a temporary break on 2026-08-28.",2026-09-04,Artist Manager,,,"The official live page lists 2026 dates through 2026-09-04, and DIY's 2026-09-02 artist page still documents the Cutthroat campaign; the band also announced a temporary break on 2026-08-28.",https://www.shame.world/live,"The official live page lists 2026 dates through 2026-09-04, and DIY's 2026-09-02 artist page still documents the Cutthroat campaign; the band also announced a temporary break on 2026-08-28.",band-prospects,verified_current_signal,2026-09-04,"The official live page lists 2026 dates through 2026-09-04, and DIY's 2026-09-02 artist page still documents the Cutthroat campaign; the band also announced a temporary break on 2026-08-28.",2026-09-04,https://www.shame.world/live,Calum Sager,Artist management,https://www.shame.world/contact,Current signal is valid but outreach should acknowledge the announced temporary break. Official contact page names the management route; do not infer an email beyond the public source.
Aaron Lee Tasjan,blueelan.com,solo artist,,4,B,Olivia Management posted on 2026-04-16 that 'Lost & Alone' is out and a full album is on the horizon; the official site lists a current management route.,2026-04-16,Artist manager / Label marketing manager,https://www.linkedin.com/search/results/people/?keywords=Aaron%20Lee%20Tasjan,,Olivia Management posted on 2026-04-16 that 'Lost & Alone' is out and a full album is on the horizon; the official site lists a current management route.,https://www.oliviamanagement.com/blogfull/2026/4/14/new-music-vinyl-and-tour-updates-from-aaron-lee-tasjan,Olivia Management posted on 2026-04-16 that 'Lost & Alone' is out and a full album is on the horizon; the official site lists a current management route.,growth-lookalikes,verified_current_signal,2026-09-04,Olivia Management posted on 2026-04-16 that 'Lost & Alone' is out and a full album is on the horizon; the official site lists a current management route.,2026-04-16,https://www.oliviamanagement.com/blogfull/2026/4/14/new-music-vinyl-and-tour-updates-from-aaron-lee-tasjan,Erin Anderson,"Artist management, Olivia Management",https://www.aaronleetasjan.com/contact,Official contact page names the management representative. Use the public route; do not add an unverified address.
Artist Influence,artistinfluence.com,music marketing agency / campaign platform,,4,B,Artist Influence's current About and Contact pages describe an active music-marketing software and execution layer with campaign intake and measurable release-growth services.,,Agency Partnerships Lead / Campaign Director,,,Artist Influence's current About and Contact pages describe an active music-marketing software and execution layer with campaign intake and measurable release-growth services.,https://www.artistinfluence.com/about,Artist Influence's current About and Contact pages describe an active music-marketing software and execution layer with campaign intake and measurable release-growth services.,agency-prospects,verified_current_service_signal,2026-09-04,Artist Influence's current About and Contact pages describe an active music-marketing software and execution layer with campaign intake and measurable release-growth services.,,https://www.artistinfluence.com/about,,,,"Public campaign intake is available, but no named agency partnerships or campaign lead was identified on the reviewed pages. Do not guess."
